,Message,Favourite Count,Retweet Count,Created At,Source,Username
71,"“Fathers who help unlock their daughter’s potential, standing up for their rights and raising them to believe they… https://t.co/E88mw95ZpS",19820,3629,2019-07-12 16:51:00,Sprinklr,Bill Gates
72,"Nearly one billion malaria cases have been prevented since 2000, but infection rates have plateaued or even increas… https://t.co/QNhIsALyIh",4857,798,2019-07-11 22:31:27,Sprinklr,Bill Gates
73,Can we feed 10 billion people? I’m optimistic that we can if we invest in research that will help poor farmers adap… https://t.co/JG9t0gO5cY,9858,1815,2019-07-09 19:26:00,Sprinklr,Bill Gates
74,Nuclear power is the second-largest source of low-carbon electricity in the world — but its growth is slowing down.… https://t.co/aHzLvYqtr2,8163,2141,2019-07-03 23:20:02,Sprinklr,Bill Gates
75,I wish I had understood much earlier in my career what true inequity looks like and how to fight it. That’s why I’m… https://t.co/vMbA96MYxU,5613,768,2019-07-03 17:21:01,Sprinklr,Bill Gates
76,This is the teletype that brought Paul Allen and me together. And I’m so glad that it did. Paul was one of the most… https://t.co/i6g0BMFr9N,8252,839,2019-07-01 14:10:03,Sprinklr,Bill Gates
77,More people are getting their electricity from renewable sources that ever before. Here’s how we can build on the p… https://t.co/bvm0sP7Ebe,5332,1003,2019-06-30 16:21:52,Sprinklr,Bill Gates
78,"Today’s commitment by @theresa_may to #StepUpTheFight against AIDS, TB and malaria will help save millions of lives… https://t.co/7LNj3JX7kI",6326,948,2019-06-29 15:46:46,Twitter Web Client,Bill Gates
79,My friendship with Paul Allen changed my life. I loved sharing some of my favorite stories about him (and a few old… https://t.co/BvQIBm38iB,12687,1105,2019-06-28 17:14:01,Sprinklr,Bill Gates
80,Few inventions have changed our lives as much as the battery. I’m excited that more inventors and investors are bei… https://t.co/pVBxzFTJAJ,6184,976,2019-06-27 11:57:00,Sprinklr,Bill Gates
81,It’s great to see such early support from Japan in re-committing to the @GlobalFund. The support of @AbeShinzo and… https://t.co/fGwXtkVNkJ,2448,336,2019-06-27 00:00:00,Sprinklr,Bill Gates
82,"I’m excited about the progress we’re making toward understanding Alzheimer’s. For the first time, @MIT researchers… https://t.co/lWLXkJiqcb",8817,1767,2019-06-25 12:05:00,Sprinklr,Bill Gates
83,"I love talking about toilets. @NatGeo recently wrote about two that I think could change the world.
https://t.co/2Q521aLrDK",7931,1579,2019-06-24 12:51:00,Sprinklr,Bill Gates
84,I’m excited to see such incredible leadership from @EmmanuelMacron and the people of France towards @GlobalFund. If… https://t.co/1yIDluZcfF,9660,1959,2019-06-22 04:45:00,Sprinklr,Bill Gates
85,I learned what’s possible in agriculture from studying a remarkable scientist named Norman Borlaug. If you’re curio… https://t.co/IWBkbwBxpB,9887,2098,2019-06-20 16:22:00,Sprinklr,Bill Gates
86,"If you have the willingness to learn about a problem and the talent to help solve it, you can make a remarkable dif… https://t.co/4URUTuqcil",4962,922,2019-06-19 16:57:15,Twitter Media Studio,Bill Gates
87,"I encourage software developers, inventors, and scientists to consider how they can use their skills to fight inequ… https://t.co/0P2l9ThfOi",5620,930,2019-06-18 18:08:31,Sprinklr,Bill Gates
88,"When @goodreads asked me to share my top summer reading recommendations, it was hard to narrow down the list. https://t.co/SlVDDIDnd7",4704,688,2019-06-17 17:39:01,Twitter Web Client,Bill Gates
89,Fighting disease is like fighting fire. It’s not enough to put out most of it — you have to get it all. @Rotary’s g… https://t.co/Zio9nWxsUi,6097,870,2019-06-15 15:07:55,Sprinklr,Bill Gates
90,The fight against malaria is one of the greatest success stories in global health — but progress has slowed in rece… https://t.co/BMtUZu6QTn,4824,752,2019-06-14 16:33:32,Sprinklr,Bill Gates
91,"I was moved by this story: Bob’s daughter has Down syndrome, which puts her at a higher risk for dementia. Motivate… https://t.co/UbTDVcDZWQ",4128,440,2019-06-13 16:16:32,Sprinklr,Bill Gates
92,Our foundation’s Day of Caring is one of my dad’s favorite days of the year. I know he can’t wait to hear what our… https://t.co/s81X5MgeAD,5596,487,2019-06-12 16:34:01,Sprinklr,Bill Gates
93,I’m always amazed by the disconnect between what we see in the news and the reality of the world around us. As my l… https://t.co/F6OwugM850,116442,45522,2019-06-11 18:58:01,Twitter Web Client,Bill Gates
94,"Thank you for being a friend, Warren: https://t.co/4hhwUvkGox #BestFriendsDay https://t.co/1hmF1WE5gC",14693,1809,2019-06-08 17:49:23,Twitter Media Studio,Bill Gates
95,I’m thrilled about the elimination of malaria from Algeria and Argentina. This news gives me hope that we’ll one da… https://t.co/m4oWhAVbzH,17086,2697,2019-06-08 14:56:00,Sprinklr,Bill Gates
96,"David Letterman’s newest season of #MyNextGuest has a lot of fascinating guests, but there’s one clear standout for… https://t.co/1GmkRjkJx9",2809,287,2019-06-07 16:26:30,Sprinklr,Bill Gates
